date,tid,price,type,amount
1528704192.0,68156422.0,6673.0,1.0,0.837574
1528704192.0,68156423.0,6671.2,0.0,0.0054
1528704193.0,68156426.0,6671.19,1.0,0.00539
1528704193.0,68156427.0,6671.19,1.0,0.00461
1528704193.0,68156428.0,6670.89,0.0,0.38369894
1528704195.0,68156430.0,6670.6,1.0,0.644
1528704196.0,68156431.0,6670.15,1.0,0.27328641
1528704196.0,68156432.0,6670.14,1.0,4.72671359
1528704196.0,68156433.0,6670.14,1.0,0.11248641
1528704203.0,68156437.0,6669.62,1.0,0.03307682
1528704203.0,68156438.0,6669.62,1.0,0.04938075
1528704203.0,68156439.0,6669.61,1.0,1.303
1528704206.0,68156441.0,6673.53,0.0,0.03729259
1528704206.0,68156446.0,6673.53,0.0,0.0869904
1528704207.0,68156448.0,6673.5,0.0,0.01798148
1528704207.0,68156449.0,6673.5,0.0,0.71
1528704208.0,68156450.0,6671.47,0.0,0.00538009
1528704213.0,68156456.0,6670.63,0.0,0.0211435
1528704218.0,68156458.0,6670.63,0.0,0.0074
1528704218.0,68156460.0,6670.63,0.0,6.107e-05
1528704218.0,68156461.0,6671.46,0.0,0.08241157
1528704219.0,68156462.0,6674.59,0.0,0.01
1528704219.0,68156463.0,6677.62,0.0,0.08421714
1528704223.0,68156465.0,6677.62,0.0,0.12309628
1528704229.0,68156473.0,6677.59,0.0,0.15546186
1528704233.0,68156480.0,6677.92,1.0,0.00777309
1528704239.0,68156486.0,6678.12,1.0,0.5264
1528704239.0,68156488.0,6677.93,1.0,0.53730084
1528704239.0,68156489.0,6682.49,0.0,0.01
1528704242.0,68156495.0,6686.65,0.0,0.022299
1528704243.0,68156496.0,6688.49,0.0,0.065
1528704249.0,68156512.0,6688.49,0.0,0.01223
1528704249.0,68156513.0,6691.0,0.0,0.001
1528704249.0,68156514.0,6691.28,0.0,0.23220662
1528704263.0,68156526.0,6690.6,0.0,0.01
1528704264.0,68156528.0,6691.28,0.0,0.02121
1528704265.0,68156529.0,6691.28,0.0,5.0
1528704265.0,68156530.0,6691.28,0.0,2.60365472
1528704265.0,68156531.0,6691.28,0.0,0.00187644
1528704267.0,68156536.0,6691.28,0.0,4.2856
1528704267.0,68156537.0,6691.28,0.0,5.222e-05
1528704267.0,68156538.0,6694.68,0.0,0.2
1528704267.0,68156539.0,6694.7,0.0,0.0087752
1528704268.0,68156541.0,6694.99,0.0,0.07162
1528704268.0,68156543.0,6700.0,0.0,0.6
1528704268.0,68156545.0,6700.0,0.0,0.01264872
1528704268.0,68156547.0,6686.48,1.0,0.0117684
1528704270.0,68156559.0,6700.0,0.0,0.03456839
1528704272.0,68156562.0,6700.0,0.0,0.22636907
1528704274.0,68156572.0,6692.01,1.0,0.00127483
1528704277.0,68156578.0,6692.02,1.0,1.0
1528704277.0,68156580.0,6692.02,0.0,1.5
1528704277.0,68156582.0,6692.02,0.0,0.475
1528704277.0,68156585.0,6692.02,0.0,2.025
1528704278.0,68156591.0,6700.0,0.0,0.35
1528704279.0,68156592.0,6700.0,0.0,0.01878243
1528704279.0,68156594.0,6700.0,0.0,0.14888059
1528704281.0,68156598.0,6700.0,0.0,0.01258907
1528704281.0,68156600.0,6700.0,0.0,0.04545162
1528704284.0,68156605.0,6700.0,0.0,0.15071011
1528704284.0,68156606.0,6700.0,0.0,0.01
1528704284.0,68156607.0,6703.49,0.0,0.06595
1528704284.0,68156608.0,6703.5,0.0,0.20066337
1528704289.0,68156616.0,6703.82,0.0,0.03337073
1528704293.0,68156618.0,6707.41,0.0,0.005
1528704294.0,68156619.0,6694.79,1.0,0.08055704
1528704303.0,68156638.0,6704.86,0.0,0.22295456
1528704305.0,68156644.0,6695.3,1.0,0.07766642
1528704305.0,68156645.0,6695.29,1.0,0.00173
1528704305.0,68156646.0,6695.14,1.0,0.5494
1528704305.0,68156647.0,6693.3,1.0,0.01
1528704305.0,68156649.0,6692.3,1.0,0.228907
1528704305.0,68156652.0,6691.28,1.0,0.12507004
1528704306.0,68156653.0,6691.28,1.0,0.01010184
1528704306.0,68156656.0,6689.92,0.0,0.08211933
1528704306.0,68156659.0,6689.92,0.0,0.08027344
1528704306.0,68156660.0,6689.92,0.0,0.1731
1528704306.0,68156661.0,6690.52,0.0,1.4916
1528704306.0,68156662.0,6690.52,0.0,0.01
1528704307.0,68156664.0,6690.52,0.0,0.0776663
1528704307.0,68156666.0,6690.52,0.0,0.0311
1528704307.0,68156669.0,6690.0,1.0,0.11657
1528704308.0,68156679.0,6690.52,0.0,0.0111023
1528704308.0,68156681.0,6690.52,0.0,0.40056677
1528704309.0,68156682.0,6690.52,0.0,2.0
1528704309.0,68156683.0,6690.52,0.0,2.0
1528704310.0,68156691.0,6690.85,1.0,0.10664877
1528704310.0,68156693.0,6689.6,1.0,4.7598
1528704310.0,68156695.0,6687.83,1.0,1.77280903
1528704313.0,68156702.0,6697.32,0.0,0.01
1528704313.0,68156703.0,6699.8,0.0,0.01159
1528704315.0,68156705.0,6690.62,1.0,0.01
1528704315.0,68156706.0,6688.1,1.0,1.4906
1528704315.0,68156707.0,6688.04,1.0,0.0889
1528704315.0,68156708.0,6687.83,1.0,0.36519097
1528704316.0,68156711.0,6687.04,0.0,0.87944688
1528704316.0,68156715.0,6687.04,0.0,0.1019898
1528704316.0,68156716.0,6687.04,0.0,0.011707
1528704316.0,68156718.0,6687.0,1.0,0.201274
1528704317.0,68156720.0,6686.46,0.0,0.0889
1528704317.0,68156721.0,6687.04,0.0,0.1679832
1528704317.0,68156722.0,6687.04,0.0,0.4819518
1528704317.0,68156724.0,6687.04,0.0,0.01
1528704321.0,68156734.0,6690.63,1.0,0.87932315
1528704321.0,68156737.0,6687.37,1.0,0.10670427
1528704321.0,68156739.0,6687.04,1.0,0.02691773
1528704321.0,68156740.0,6685.7,1.0,1.4895
1528704322.0,68156742.0,6685.58,1.0,4.0784
1528704322.0,68156744.0,6685.04,0.0,0.87934635
1528704323.0,68156745.0,6683.91,1.0,0.01
1528704324.0,68156746.0,6691.47,0.0,0.01450891
1528704326.0,68156750.0,6690.42,0.0,0.002642
1528704329.0,68156757.0,6690.81,0.0,0.01568
1528704330.0,68156759.0,6690.41,0.0,0.08207375
1528704330.0,68156760.0,6690.81,0.0,0.213137
1528704330.0,68156761.0,6691.47,0.0,1.48549109
1528704330.0,68156762.0,6691.61,1.0,0.46929816
1528704331.0,68156763.0,6682.78,1.0,2.006
1528704331.0,68156764.0,6682.11,0.0,0.0357718
1528704333.0,68156778.0,6690.42,0.0,0.01
1528704333.0,68156780.0,6697.98,0.0,0.0286365
1528704334.0,68156781.0,6683.73,1.0,0.01
1528704334.0,68156782.0,6682.57,1.0,0.03669161
1528704338.0,68156788.0,6682.15,0.0,2.93109495
1528704339.0,68156789.0,6682.11,1.0,0.01282424
1528704339.0,68156790.0,6682.15,0.0,0.97831431
1528704339.0,68156791.0,6682.11,1.0,0.00191117
1528704339.0,68156792.0,6680.59,1.0,0.00354406
1528704341.0,68156840.0,6680.59,1.0,0.07871547
1528704341.0,68156841.0,6680.58,1.0,0.228828
1528704344.0,68156842.0,6677.92,1.0,0.09908219
1528704344.0,68156843.0,6677.59,1.0,0.18117056
1528704344.0,68156844.0,6677.31,1.0,0.07237907
1528704351.0,68156847.0,6680.0,1.0,0.1
1528704351.0,68156848.0,6677.31,1.0,0.39862093
1528704352.0,68156849.0,6676.55,0.0,1.85437907
1528704354.0,68156851.0,6676.15,1.0,0.00983053
1528704365.0,68156858.0,6680.02,1.0,0.05
1528704368.0,68156862.0,6687.66,0.0,0.08224102
1528704369.0,68156864.0,6688.66,0.0,0.228828
1528704370.0,68156865.0,6689.2,0.0,0.01
1528704370.0,68156866.0,6697.94,0.0,0.12021997
1528704371.0,68156867.0,6682.51,1.0,0.01
1528704371.0,68156868.0,6682.51,1.0,0.99997168
1528704371.0,68156869.0,6680.02,1.0,1.402
1528704371.0,68156870.0,6680.0,1.0,1.83191691
1528704379.0,68156877.0,6679.45,1.0,0.01571448
1528704382.0,68156881.0,6689.26,1.0,0.10442524
1528704383.0,68156882.0,6679.63,1.0,1.452
1528704383.0,68156883.0,6679.43,1.0,1.452
1528704383.0,68156884.0,6679.41,1.0,0.08234119
1528704383.0,68156885.0,6679.14,0.0,1.0
1528704384.0,68156886.0,6679.14,0.0,1.452
1528704384.0,68156887.0,6679.14,0.0,0.41196871
1528704384.0,68156888.0,6679.14,0.0,2.0
1528704384.0,68156889.0,6679.14,0.0,1.39730569
1528704385.0,68156890.0,6679.14,0.0,0.1
1528704386.0,68156891.0,6679.13,0.0,0.08234605
1528704386.0,68156892.0,6679.14,0.0,6.53625395
1528704400.0,68156898.0,6691.27,0.0,0.01
1528704400.0,68156899.0,6692.17,0.0,0.01919836
1528704404.0,68156907.0,6685.68,1.0,0.35097254
1528704410.0,68156909.0,6696.34,0.0,0.02260107
1528704417.0,68156911.0,6696.34,0.0,0.9431
1528704419.0,68156912.0,6686.1,1.0,0.01041954
1528704423.0,68156914.0,6696.85,0.0,0.052186
1528704424.0,68156916.0,6696.85,0.0,0.03914
1528704430.0,68156920.0,6697.17,0.0,0.01345349
1528704434.0,68156931.0,6687.33,1.0,0.00595
1528704445.0,68156936.0,6697.42,0.0,0.0163408
1528704455.0,68156940.0,6688.02,1.0,0.0662
1528704455.0,68156941.0,6688.02,1.0,0.01931405
1528704457.0,68156942.0,6688.03,1.0,0.08223655
1528704457.0,68156943.0,6687.97,0.0,0.28068595
1528704457.0,68156944.0,6685.47,1.0,0.4557
1528704458.0,68156945.0,6684.58,1.0,0.01
1528704458.0,68156946.0,6683.94,1.0,0.0897
1528704458.0,68156948.0,6681.92,0.0,1.452
1528704459.0,68156949.0,6681.57,1.0,0.228841
1528704459.0,68156950.0,6681.54,0.0,1.0
1528704461.0,68156951.0,6682.29,1.0,0.13814199
1528704462.0,68156952.0,6681.28,1.0,1.452
1528704462.0,68156953.0,6681.26,1.0,0.2943
1528704462.0,68156954.0,6680.87,0.0,0.01074
1528704462.0,68156956.0,6680.08,0.0,1.452
1528704462.0,68156957.0,6680.0,1.0,5.52408656
1528704463.0,68156958.0,6680.08,0.0,0.2943
1528704464.0,68156961.0,6680.08,0.0,1.5917635
1528704464.0,68156963.0,6680.01,0.0,0.0775
1528704465.0,68156965.0,6680.01,0.0,0.10296516
1528704465.0,68156967.0,6690.89,0.0,0.02457924
1528704465.0,68156969.0,6680.0,1.0,2.64591344
1528704465.0,68156970.0,6679.14,1.0,0.88043291
